标题,说明,价格,链接,人气,地址,销量数,评论数,库存,商品ID,店铺ID,参数
Apple/苹果 10.5 英寸 iPad Pro,,7476.00-10976.00,https://detail.tmall.com/item.htm?id=556798170999&rn=fb79051743eb6f08c53c2f69a9a77100&abbucket=12,nothing,上海,2,747,0,50019780,shopId=107922698,
Apple/苹果 10.5 英寸 iPad Pro,,6676.00-10176.00,https://detail.tmall.com/item.htm?id=556628015114&rn=fb79051743eb6f08c53c2f69a9a77100&abbucket=12,nothing,上海,0,667,0,50019780,shopId=107922698,
Apple/苹果 12.9 英寸 iPad Pro,,7876.00-11376.00,https://detail.tmall.com/item.htm?id=556569262017&rn=fb79051743eb6f08c53c2f69a9a77100&abbucket=12,nothing,上海,0,787,0,50019780,shopId=107922698,
Apple/苹果 12.9 英寸 iPad Pro,,8676.00-12176.00,https://detail.tmall.com/item.htm?id=556565130880&rn=fb79051743eb6f08c53c2f69a9a77100&abbucket=12,nothing,上海,0,867,0,50019780,shopId=107922698,
Apple/苹果 21.5 英寸 iMac Retina 4K 显示屏 3.4GHz 处理器 1TB 存储容量,,11888.00,https://detail.tmall.com/item.htm?id=554411389995&rn=c867cf0ee2220fc1e7d0a02e494169d3&abbucket=12,nothing,上海,2,1188,0,124044001,shopId=107922698,
Apple/苹果 21.5 英寸 iMac Retina 4K 显示屏 3.0GHz 处理器 1TB 存储容量,,10288.00,https://detail.tmall.com/item.htm?id=554494443394&rn=c867cf0ee2220fc1e7d0a02e494169d3&abbucket=12,nothing,上海,3,1028,0,124044001,shopId=107922698,
Apple/苹果 21.5 英寸 iMac 2.3GHz 处理器 1TB 存储容量,,8688.00,https://detail.tmall.com/item.htm?id=554492099827&rn=c867cf0ee2220fc1e7d0a02e494169d3&abbucket=12,nothing,上海,6,868,0,124044001,shopId=107922698,
,,14288.00,https://detail.tmall.com/item.htm?id=553972778859&rn=c867cf0ee2220fc1e7d0a02e494169d3&abbucket=12,nothing,上海,4,1428,0,1101,shopId=107922698,
Osmo Coding 游戏套装 (适用于 iPad),,598.00,https://detail.tmall.com/item.htm?id=536585271558&rn=791966e54b5f092b153aec6ee704f8f1&abbucket=12,nothing,上海,3,59,0,50008090,shopId=107922698,
Ubtech Jimu Robot Meebot 套装,,998.00,https://detail.tmall.com/item.htm?id=536729660689&rn=791966e54b5f092b153aec6ee704f8f1&abbucket=12,nothing,上海,6,99,0,124242008,shopId=107922698,
Ubtech Jimu Robot 附加动物套装,,398.00,https://detail.tmall.com/item.htm?id=536579123720&rn=791966e54b5f092b153aec6ee704f8f1&abbucket=12,nothing,上海,2,39,0,124242008,shopId=107922698,
Belkin 车载充电器 (2.4A/12W)，配备内置 Lightning 线缆,,178.00,https://detail.tmall.com/item.htm?id=536457087193&rn=791966e54b5f092b153aec6ee704f8f1&abbucket=12,nothing,上海,195,17,0,50008090,shopId=107922698,
